gene_id,domain_name,domain_start,domain_end
msl3,PF00698,16,428
msl3,PF08240,16,428
msl3,PF00107,16,428
msl3,PF16197,16,428
msl3,PF00109,16,428
msl3,PF02801,16,428
msl3,PF08659,16,428
msl3,PF21089,16,428
msl3,PF00550,16,428
msl3,PF14765,16,428
pks3,PF00698,16,428
pks3,PF08240,16,428
pks3,PF00107,16,428
pks3,PF16197,16,428
pks3,PF00109,16,428
pks3,PF02801,16,428
pks3,PF08659,16,428
pks3,PF21089,16,428
pks3,PF00550,16,428
pks3,PF14765,16,428
pks4,PF00698,16,428
pks4,PF08240,16,428
pks4,PF00107,16,428
pks4,PF16197,16,428
pks4,PF00109,16,428
pks4,PF02801,16,428
pks4,PF08659,16,428
pks4,PF21089,16,428
pks4,PF00550,16,428
pks4,PF14765,16,428
rv1180/rv1181,PF00698,16,428
rv1180/rv1181,PF08240,16,428
rv1180/rv1181,PF00107,16,428
rv1180/rv1181,PF16197,16,428
rv1180/rv1181,PF00109,16,428
rv1180/rv1181,PF02801,16,428
rv1180/rv1181,PF08659,16,428
rv1180/rv1181,PF21089,16,428
rv1180/rv1181,PF00550,16,428
rv1180/rv1181,PF14765,16,428
ptpb,PF13350,NA,NA
mptpb,PF13350,NA,NA
rv0153c,PF13350,NA,NA
enc,PF04454,NA,NA
cfp29,PF04454,NA,NA
rv0798c,PF04454,NA,NA
rv1700,PF00293,41,172
pks13,PF00698,17,95
pks13,PF16197,17,95
pks13,PF00109,17,95
pks13,PF02801,17,95
pks13,PF00550,17,95
pks13,PF00975,17,95
rv3800c,PF00698,17,95
rv3800c,PF16197,17,95
rv3800c,PF00109,17,95
rv3800c,PF02801,17,95
rv3800c,PF00550,17,95
rv3800c,PF00975,17,95
pnca,PF00857,NA,NA
rv2043c,PF00857,NA,NA
pks12,PF00698,34,457
pks12,PF08240,34,457
pks12,PF13602,34,457
pks12,PF16197,34,457
pks12,PF00109,34,457
pks12,PF02801,34,457
pks12,PF08659,34,457
pks12,PF21089,34,457
pks12,PF00550,34,457
pks12,PF14765,34,457
pks12,PF22953,34,457
msl6,PF00698,34,457
msl6,PF08240,34,457
msl6,PF13602,34,457
msl6,PF16197,34,457
msl6,PF00109,34,457
msl6,PF02801,34,457
msl6,PF08659,34,457
msl6,PF21089,34,457
msl6,PF00550,34,457
msl6,PF14765,34,457
msl6,PF22953,34,457
rv2048c,PF00698,34,457
rv2048c,PF08240,34,457
rv2048c,PF13602,34,457
rv2048c,PF16197,34,457
rv2048c,PF00109,34,457
rv2048c,PF02801,34,457
rv2048c,PF08659,34,457
rv2048c,PF21089,34,457
rv2048c,PF00550,34,457
rv2048c,PF14765,34,457
rv2048c,PF22953,34,457
rv2966c,PF03602,NA,NA
fada5,PF02803,NA,NA
fada5,PF00108,NA,NA
rv3546,PF02803,NA,NA
rv3546,PF00108,NA,NA
rv0045c,PF12697,NA,NA
folc,PF02875,NA,NA
folc,PF08245,NA,NA
rv2447c,PF02875,NA,NA
rv2447c,PF08245,NA,NA
lipy,PF07859,1,100
lipy,PF00934,1,100
pe-pgrs63,PF07859,1,100
pe-pgrs63,PF00934,1,100
rv3097c,PF07859,1,100
rv3097c,PF00934,1,100
fade27,PF00441,NA,NA
fade27,PF02771,NA,NA
rv3505,PF00441,NA,NA
rv3505,PF02771,NA,NA
rv3717,PF01520,29,230
dyp,PF20628,NA,NA
dyp,PF04261,NA,NA
rv0799c,PF20628,NA,NA
rv0799c,PF04261,NA,NA
fabg4,PF13561,NA,NA
rv0242c,PF13561,NA,NA
ldtb,PF17964,253,378
ldtb,PF03734,253,378
lpps,PF17964,253,378
lpps,PF03734,253,378
rv2518c,PF17964,253,378
rv2518c,PF03734,253,378
rvbd_2518c,PF17964,253,378
rvbd_2518c,PF03734,253,378
p425_02624,PF17964,253,378
p425_02624,PF03734,253,378
prpc,PF00285,NA,NA
rv1131,PF00285,NA,NA
rvbd_1131,PF00285,NA,NA
p425_01180,PF00285,NA,NA
lrpa,PF01037,5,66
lrpa,PF13412,5,66
rv3291c,PF01037,5,66
rv3291c,PF13412,5,66
fade26,PF00441,NA,NA
fade26,PF02770,NA,NA
fade26,PF02771,NA,NA
rv3504,PF00441,NA,NA
rv3504,PF02770,NA,NA
rv3504,PF02771,NA,NA
bira,PF02237,14,202
bira,PF03099,14,202
rv3279c,PF02237,14,202
rv3279c,PF03099,14,202
rimi,PF00583,8,155
rv3420c,PF00583,8,155
pbpb,PF03717,NA,NA
pbpb,PF00905,NA,NA
ftsi,PF03717,NA,NA
ftsi,PF00905,NA,NA
pbp3,PF03717,NA,NA
pbp3,PF00905,NA,NA
rv2163c,PF03717,NA,NA
rv2163c,PF00905,NA,NA
lipv,PF12697,NA,NA
rv3203,PF12697,NA,NA
log,PF03641,NA,NA
rv1205,PF03641,NA,NA
rvbd_1205,PF03641,NA,NA
p425_01253,PF03641,NA,NA
fadd6,PF00501,NA,NA
fadd6,PF13193,NA,NA
rv1206,PF00501,NA,NA
rv1206,PF13193,NA,NA
cpnt,PF14021,751,846
rv3903c,PF14021,751,846
mycp1,PF00082,64,387
rv3883c,PF00082,64,387
rv0998,PF13302,156,318
rv0998,PF00027,156,318
ppk2,PF03976,NA,NA
rv3232c,PF03976,NA,NA
rv2159c,PF02627,NA,NA
cut4,PF01083,NA,NA
rv3452,PF01083,NA,NA
lipf,PF07859,NA,NA
rv3487c,PF07859,NA,NA
grcc1,PF00348,NA,NA
rv0562,PF00348,NA,NA
mcr,PF02515,NA,NA
rv1143,PF02515,NA,NA
prpd,PF19305,NA,NA
prpd,PF03972,NA,NA
rv1130,PF19305,NA,NA
rv1130,PF03972,NA,NA
rvbd_1130,PF19305,NA,NA
rvbd_1130,PF03972,NA,NA
p425_01179,PF19305,NA,NA
p425_01179,PF03972,NA,NA
rv0669c,PF04734,NA,NA
rv0669c,PF17048,NA,NA
rv0183,PF12146,NA,NA
lipj,PF00561,63,146
lipj,PF00211,63,146
rv1900c,PF00561,63,146
rv1900c,PF00211,63,146
vapc4,PF01850,7,130
rv0595c,PF01850,7,130
rv1692,PF18407,NA,NA
rv1692,PF13344,NA,NA
rv1692,PF13242,NA,NA
ephg,PF07858,NA,NA
rv2740,PF07858,NA,NA
arga,PF00583,10,148
rv2747,PF00583,10,148
pptt,PF17837,NA,NA
pptt,PF01648,NA,NA
rv2794c,PF17837,NA,NA
rv2794c,PF01648,NA,NA
relg,PF05016,NA,NA
rele2,PF05016,NA,NA
rv2866,PF05016,NA,NA
rv0518,PF13472,NA,NA
rv3377c,PF13243,NA,NA
acn,PF00330,NA,NA
acn,PF00694,NA,NA
rv1475c,PF00330,NA,NA
rv1475c,PF00694,NA,NA
rvbd_1475c,PF00330,NA,NA
rvbd_1475c,PF00694,NA,NA
p425_01532,PF00330,NA,NA
p425_01532,PF00694,NA,NA
ripa,PF00877,340,472
rv1477,PF00877,340,472
rpfe,PF06737,NA,NA
rv2450c,PF06737,NA,NA
mtv008.06c,PF06737,NA,NA
korb,PF02775,NA,NA
rv2454c,PF02775,NA,NA
serb2,PF13740,8,86
serb2,PF21086,8,86
serb2,PF12710,8,86
rv3042c,PF13740,8,86
rv3042c,PF21086,8,86
rv3042c,PF12710,8,86
whib2,PF02467,26,83
rv3260c,PF02467,26,83
sapm,PF04185,NA,NA
rv3310,PF04185,NA,NA
rv1075c,PF13472,NA,NA
lipu,PF07859,NA,NA
rv1076,PF07859,NA,NA
phoh2,PF02562,5,132
phoh2,PF13638,5,132
rv1095,PF02562,5,132
rv1095,PF13638,5,132
ppm1,PF00795,241,497
ppm1,PF00535,241,497
ppm1,PF20154,241,497
lnt,PF00795,241,497
lnt,PF00535,241,497
lnt,PF20154,241,497
rv2051c,PF00795,241,497
rv2051c,PF00535,241,497
rv2051c,PF20154,241,497
arog,PF01474,NA,NA
rv2178c,PF01474,NA,NA
chsb1,PF00106,NA,NA
rv3502c,PF00106,NA,NA
fadd17,PF00501,NA,NA
fadd17,PF13193,NA,NA
