Entry	Entry Name	Protein names	Gene Names	Length	Pfam	InterPro	Domain [FT]
A0A089QRB9	MSL3_MYCTU	Mycolipanoate synthase (EC 2.3.1.252) (Mycocerosic acid synthase-like polyketide synthase) (MAS-like PKS) (Mycolipanoic/mycolipenic acids synthase-like polyketide synthase)	msl3 pks3 pks4 Rv1180/Rv1181	2085	PF00698;PF08240;PF00107;PF16197;PF00109;PF02801;PF08659;PF21089;PF00550;PF14765;	IPR001227;IPR036736;IPR014043;IPR016035;IPR013149;IPR013154;IPR011032;IPR018201;IPR014031;IPR014030;IPR016036;IPR053386;IPR036291;IPR032821;IPR020841;IPR042104;IPR020807;IPR049551;IPR049552;IPR020843;IPR013968;IPR049900;IPR050091;IPR020806;IPR009081;IPR016039;	DOMAIN 16..428; /note="Ketosynthase family 3 (KS3)"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01348"; DOMAIN 898..1182; /note="PKS/mFAS DH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01363"; DOMAIN 2005..2081; /note="Carrier"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00258"
I6WXK4	PTPB_MYCTU	Triple specificity protein phosphatase PtpB (EC 3.1.3.-) (EC 3.1.3.16) (EC 3.1.3.48) (MPtpB) (Phosphoinositide phosphatase) (Protein-serine/threonine phosphatase) (Protein-tyrosine phosphatase B) (TSP PTP)	ptpB mptpB Rv0153c	276	PF13350;	IPR029021;IPR026893;IPR000387;	
I6WZG6	ENCAP_MYCTU	Type 1 encapsulin shell protein (Culture filtrate protein 29) (CFP29) [Cleaved into: Type 1 encapsulin shell protein, N-terminally processed]	enc cfp29 Rv0798c	265	PF04454;	IPR007544;IPR051429;	
I6X235	ADPP_MYCTU	ADP-ribose pyrophosphatase (EC 3.6.1.13) (8-oxo-(d)GDP phosphatase) (EC 3.6.1.58) (ADPR hydrolase) (MT-ADPRase)	Rv1700	207	PF00293;	IPR015797;IPR000086;	DOMAIN 41..172; /note="Nudix hydrolase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00794"
I6X8D2	PKS13_MYCTU	Polyketide synthase Pks13 (EC 2.3.1.-)	pks13 Rv3800c	1733	PF00698;PF16197;PF00109;PF02801;PF00550;PF00975;	IPR029058;IPR001227;IPR036736;IPR014043;IPR016035;IPR018201;IPR014031;IPR014030;IPR016036;IPR053778;IPR032821;IPR020841;IPR050091;IPR020806;IPR009081;IPR001031;IPR016039;	DOMAIN 17..95; /note="Carrier 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00258"; DOMAIN 116..541; /note="Ketosynthase family 3 (KS3)"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01348"; DOMAIN 1232..1309; /note="Carrier 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00258"
I6XD65	PNCA_MYCTU	Nicotinamidase/pyrazinamidase (Nicotinamidase) (EC 3.5.1.19) (Nicotinamide deamidase) (NAMase) (Pyrazinamidase) (PZAase) (EC 3.5.1.-)	pncA Rv2043c	186	PF00857;	IPR000868;IPR036380;IPR052347;	
I6XD69	PKS12_MYCTU	Mycoketide-CoA synthase (EC 2.3.1.295) (Polyketide synthase Pks12)	pks12 msl6 Rv2048c	4151	PF00698;PF08240;PF13602;PF16197;PF00109;PF02801;PF08659;PF21089;PF00550;PF14765;PF22953;	IPR001227;IPR036736;IPR014043;IPR016035;IPR013154;IPR011032;IPR018201;IPR014031;IPR014030;IPR016036;IPR036291;IPR032821;IPR020841;IPR042104;IPR020807;IPR049551;IPR049552;IPR020843;IPR013968;IPR049900;IPR050091;IPR020806;IPR009081;IPR006162;IPR055123;IPR016039;	DOMAIN 34..457; /note="Ketosynthase family 3 (KS3) 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01348"; DOMAIN 926..1195; /note="PKS/mFAS DH 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01363"; DOMAIN 1963..2038; /note="Carrier 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00258"; DOMAIN 2056..2480; /note="Ketosynthase family 3 (KS3) 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01348"; DOMAIN 2940..3215; /note="PKS/mFAS DH 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01363"; DOMAIN 3995..4070; /note="Carrier 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00258"
I6XFS7	RDMTR_MYCTU	RNA/DNA methyltransferase Rv2966c (16S rRNA m2G966 methyltransferase) (5-methylcytosine-specific DNA methyltransferase) (EC 2.1.1.-) (Ribosomal RNA small subunit methyltransferase D) (EC 2.1.1.171) (RsmD-like methyltransferase)	Rv2966c	188	PF03602;	IPR002052;IPR004398;IPR029063;	
I6XHI4	FADA5_MYCTU	Steroid 3-ketoacyl-CoA thiolase (EC 2.3.1.16) (Acetyl-CoA acetyltransferase FadA5) (Beta-ketoacyl-CoA thiolase)	fadA5 Rv3546	391	PF02803;PF00108;	IPR002155;IPR016039;IPR020617;IPR020613;IPR020616;	
I6XU97	EST45_MYCTU	Esterase Rv0045c (EC 3.1.1.1)	Rv0045c	298	PF12697;	IPR000073;IPR029058;IPR050228;	
I6Y0R5	FOLC_MYCTU	Dihydrofolate synthase/folylpolyglutamate synthase (DHFS / FPGS) (EC 6.3.2.12) (EC 6.3.2.17) (Folylpoly-gamma-glutamate synthetase) (Tetrahydrofolylpolyglutamate synthase)	folC Rv2447c	487	PF02875;PF08245;	IPR001645;IPR018109;IPR036565;IPR004101;IPR036615;IPR013221;	
I6Y2J4	LIPY_MYCTU	Triacylglycerol lipase (EC 3.1.1.3) (Esterase/lipase) (Triolein hydrolase) [Cleaved into: Cytosolic triacylglycerol lipase; Extracellular triacylglycerol lipase]	lipY PE-PGRS63 Rv3097c	437	PF07859;PF00934;	IPR013094;IPR029058;IPR050300;IPR000084;	DOMAIN 1..100; /note="PE"; /evidence="ECO:0000255, ECO:0000305|PubMed:17938218"
I6Y3Q0	CHSE5_MYCTU	Acyl-CoA dehydrogenase FadE27 (ACAD) (EC 1.3.99.-) (3-oxocholest-4-en-26-oyl-CoA dehydrogenase beta subunit)	fadE27 Rv3505	373	PF00441;PF02771;	IPR046373;IPR036250;IPR009075;IPR013786;IPR037069;IPR009100;	
I6Y4D2	PEPAM_MYCTU	N-acetylmuramoyl-L-alanine amidase Rv3717 (EC 3.5.1.28) (Zinc-dependent peptidoglycan amidase)	Rv3717	241	PF01520;	IPR002508;IPR050695;	DOMAIN 29..230; /note="MurNAc-LAA"; /evidence="ECO:0000255"
I6Y4U9	DYP_MYCTU	Dye-decolorizing peroxidase (DyP) (EC 1.11.1.7)	dyp Rv0799c	335	PF20628;PF04261;	IPR011008;IPR048328;IPR048327;IPR006314;	
I6Y778	FABG4_MYCTU	3-oxoacyl-[acyl-carrier-protein] reductase [NADH] (EC 1.1.1.212) (Beta-ketoacyl CoA reductase) (FASII-like 3-oxoacyl-thioester reductase) (HMwFabG)	fabG4 Rv0242c	454	PF13561;	IPR036291;IPR020904;IPR002347;	
I6Y9J2	LDT2_MYCTU	L,D-transpeptidase 2 (LDT 2) (EC 2.3.2.-) (Ldt(Mt2))	ldtB lppS Rv2518c RVBD_2518c P425_02624	408	PF17964;PF03734;	IPR041280;IPR050979;IPR005490;IPR038063;	DOMAIN 253..378; /note="L,D-TPase catalytic"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01373"
I6Y9Q3	PRPC_MYCTU	2-methylcitrate synthase (2-MCS) (MCS) (EC 2.3.3.5) (Citrate synthase) (EC 2.3.3.16)	prpC Rv1131 RVBD_1131 P425_01180	393	PF00285;	IPR011278;IPR016142;IPR016143;IPR002020;IPR019810;IPR024176;IPR036969;	
