gene_id,position,insertions
rv0001,72,11
rv0001,102,0
rv0001,188,0
rv0001,246,0
rv0001,333,0
rv0001,360,0
rv0001,426,0
rv0001,448,11
rv0001,471,0
rv0001,483,0
rv0001,494,0
rv0001,504,10.1
rv0001,514,0
rv0001,525,11
rv0001,534,0
rv0001,601,0
rv0001,653,1.3
rv0001,670,0
rv0001,706,0
rv0001,741,21.1
rv0001,784,0
rv0001,794,0
rv0001,843,0
rv0001,989,0
rv0001,1092,19.2
rv0001,1104,0
rv0001,1267,0
rv0001,1278,0
rv0001,1345,0
rv0001,1423,0
rv0001,1522,3058.4
rv0002,2063,0
rv0002,2104,0
rv0002,2141,0
rv0002,2232,10.1
rv0002,2290,0
rv0002,2315,0
rv0002,2318,0
rv0002,2333,0
rv0002,2344,0
rv0002,2363,0
rv0002,2387,0
rv0002,2404,0
rv0002,2427,0
rv0002,2479,0
rv0002,2507,0
rv0002,2537,0
rv0002,2591,0
rv0002,2648,0
rv0002,2738,0
rv0002,2774,0
rv0002,2845,0
rv0002,2920,0
rv0002,3027,0
rv0002,3056,0
rv0002,3066,11
rv0002,3070,11
rv0002,3119,0
rv0002,3131,0
rv0002,3145,0
rv0002,3222,0
rv0002,3228,0
rv0003,3283,3448.4
rv0003,3329,2547.2
rv0003,3372,13.1
rv0003,3379,0
rv0003,3384,0
rv0003,3396,288
rv0003,3412,0
rv0003,3425,9.1
rv0003,3441,0
rv0003,3467,91.3
rv0003,3471,229.2
rv0003,3513,181.9
rv0003,3591,1093.9
rv0003,3682,548.6
rv0003,3708,1602.2
rv0003,3728,133.5
rv0003,3739,1272
rv0003,3770,327.40000000000003
rv0003,3782,782.6
rv0003,3796,39.6
rv0003,3833,499.09999999999997
rv0003,3925,1200.5
rv0003,3960,328.6
rv0003,3967,2.9
rv0003,3986,1315.5
rv0003,4011,366.6
rv0003,4028,293.8
rv0003,4094,853.4
rv0003,4118,991.1
rv0003,4121,692.1
rv0003,4130,118.8
rv0003,4158,35.1
rv0003,4207,261.1
rv0003,4217,403.9
rv0003,4353,269.3
rv0005,5128,779
rv0005,5170,3101.5
rv0005,5230,0
rv0005,5273,0
rv0005,5287,0
rv0005,5336,0
rv0005,5364,0
rv0005,5420,0
rv0005,5439,0
rv0005,5517,0
rv0005,5547,0
rv0005,5579,0
rv0005,5586,0
rv0005,5623,0
rv0005,5631,0
rv0005,5669,0
rv0005,5687,0
rv0005,5792,0
rv0005,5977,0
rv0005,5996,0
rv0005,6055,0
rv0005,6128,0
rv0005,6230,0
rv0005,6249,0
rv0005,6286,0
rv0005,6403,0
rv0005,6490,0
rv0005,6502,0
rv0005,6526,0
rv0005,6605,0
rv0005,6612,0
rv0005,6672,0
rv0005,6729,0
rv0005,6793,0
rv0005,6809,0
rv0005,6856,0
rv0005,6944,0
rv0005,6983,0
rv0005,7067,0
rv0005,7077,0
rv0005,7093,0
rv0005,7225,0
rv0005,7265,511.8
rv0006,7383,0
rv0006,7392,0
rv0006,7470,0
rv0006,7551,0
rv0006,7578,0
rv0006,7620,0
rv0006,7686,0
rv0006,7763,0
rv0006,7767,0
rv0006,7798,0
rv0006,7865,0
rv0006,7970,0
rv0006,8031,0
rv0006,8077,0
rv0006,8099,0
rv0006,8127,22
rv0006,8219,0
rv0006,8236,0
rv0006,8288,0
rv0006,8295,9.1
rv0006,8338,0
rv0006,8391,0
rv0006,8394,0
rv0006,8436,0
rv0006,8486,0
rv0006,8546,0
rv0006,8786,0
rv0006,8858,0
rv0006,8874,0
rv0006,8901,0
rv0006,9030,0
rv0006,9045,0
rv0006,9100,16.6
rv0006,9150,0
rv0006,9165,0
rv0006,9419,0
rv0006,9465,0
rv0006,9492,0
rv0006,9503,0
rv0006,9519,10.1
rv0006,9526,0
rv0006,9542,0
rv0006,9564,0
rv0006,9624,0
rv0006,9776,235.20000000000002
rv0006,9816,1909.4
rv0009,12491,2092.3
rv0009,12512,0
rv0009,12530,824.2
rv0009,12621,6813.5
rv0009,12663,2335.8
rv0009,12750,996.7
rv0009,12798,5977.1
rv0013,14938,0
rv0013,14968,0
rv0013,15023,0
rv0013,15084,0
rv0013,15114,0
rv0013,15221,0
rv0013,15245,0
rv0013,15269,0
rv0013,15304,0
rv0013,15327,0
rv0013,15366,0
rv0013,15464,0
rv0013,15515,120.3
rv0013,15576,0
rv0013,15591,4650.7
rv0014c,15657,0
rv0014c,15773,0
rv0014c,15812,0
rv0014c,15927,0
rv0014c,16161,10.1
rv0014c,16184,0
rv0014c,16273,0
rv0014c,16433,0
rv0014c,16520,0
rv0014c,16535,0
rv0014c,16558,0
rv0014c,16683,0
rv0014c,16794,0
rv0014c,16851,0
rv0014c,16872,0
rv0014c,16926,0
rv0014c,17015,0
rv0014c,17176,1.3
rv0014c,17190,11
rv0014c,17205,0
rv0014c,17247,0
rv0014c,17313,0
rv0014c,17333,0
rv0014c,17439,0
rv0015c,17476,502
rv0015c,17483,42.5
rv0015c,17586,749.7
rv0015c,17862,0
rv0015c,17981,0
rv0015c,18010,0
rv0015c,18123,0
rv0015c,18140,0
rv0015c,18161,0
rv0015c,18215,0
rv0015c,18454,0
rv0015c,18488,0
rv0015c,18527,0
rv0015c,18666,10.5
rv0015c,18693,0
rv0015c,18725,0
rv0016c,18907,2.2
rv0016c,19038,436.8
rv0016c,19043,163.3
rv0016c,19081,31.900000000000002
rv0016c,19100,156.2
rv0016c,19107,238
rv0016c,19134,137.20000000000002
rv0016c,19138,1047.9
rv0016c,19151,886.9
rv0016c,19179,2.9
rv0016c,19194,2.9
rv0016c,19226,34.1
rv0016c,19239,54.900000000000006
rv0016c,19259,312.1
rv0016c,19310,183.3
rv0016c,19453,756
rv0016c,19461,478.5
rv0016c,19582,3688.9
rv0016c,19667,364.7
rv0016c,19693,952
rv0016c,19760,653.4
rv0016c,19771,231.9
rv0016c,19829,180.8
rv0016c,19838,258
rv0016c,19914,68.7
rv0016c,19935,766.6
rv0016c,19951,372.3
rv0016c,19963,1189.3
rv0016c,19973,0
rv0016c,19984,1445.3
rv0016c,20002,230.3
rv0016c,20037,0
rv0016c,20044,694.3
rv0016c,20092,1474.4
rv0016c,20178,2131
rv0016c,20211,813.3000000000001
rv0016c,20234,2510.3
rv0017c,20266,62.5
rv0017c,20278,4165.3
rv0017c,20345,5909.1
rv0017c,20349,3453.2
rv0017c,20376,1395.7
rv0017c,20456,177.20000000000002
rv0017c,20497,576.2
rv0017c,20547,4156.8
rv0017c,20650,286.3
rv0017c,20671,2222.8
rv0017c,20680,471.1
rv0017c,20712,221.5
rv0017c,20756,311.4
rv0017c,20787,1494.6
rv0017c,20859,1341.6000000000001
rv0017c,20883,3496.3
rv0017c,21041,30.2
rv0017c,21204,433.70000000000005
rv0017c,21210,732.6
rv0017c,21266,2031
rv0017c,21359,1215.8
rv0017c,21414,1169.3
rv0017c,21477,2638.7000000000003
rv0017c,21481,2135.2
rv0017c,21548,467.5
rv0017c,21608,30.2
rv0022c,27213,334.8
rv0022c,27245,4520
rv0022c,27252,2644.3
rv0022c,27299,3143.5
rv0022c,27354,2414
rv0022c,27367,68.60000000000001
rv0022c,27399,90.5
rv0022c,27410,10556
rv0032,34313,2254.2
rv0032,34364,1218.2
rv0032,34367,4934.1
rv0032,34401,77.5
rv0032,34418,6095.8
rv0032,34420,3078.9
rv0032,34504,7208.5999999999995
rv0032,34590,1304
rv0032,34679,9140.5
rv0032,34688,1950.2
rv0032,34743,1341.9
rv0032,34849,0
rv0032,34874,2691.3
rv0032,34893,711.4
rv0032,34937,692.1
rv0032,34999,3831.2000000000003
rv0032,35021,10.1
rv0032,35075,2338.4
rv0032,35079,3002.2999999999997
rv0032,35117,10.1
rv0032,35119,972.1
rv0032,35135,0
rv0032,35160,0
rv0032,35182,0
rv0032,35203,0
rv0032,35206,574.1
rv0032,35213,0
rv0032,35250,12.7
rv0032,35261,329.79999999999995
rv0032,35293,36.5
rv0032,35304,0
rv0032,35326,204.8
rv0032,35343,0
rv0032,35353,733.6
rv0032,35388,1270.1
rv0032,35409,0
rv0032,35422,46.7
rv0032,35453,512
rv0032,35480,1005.1
rv0032,35489,161
rv0032,35570,2972.8
rv0032,35630,188.20000000000002
rv0032,35703,6817
rv0032,35750,333.1
rv0032,35781,1442.8
rv0032,35873,1960.2
rv0032,35910,2711.9
rv0032,36029,5578.1
rv0032,36191,6084.7
rv0032,36326,9480.5
rv0032,36356,2264.6
rv0032,36368,1092.3999999999999
rv0032,36428,624.4
rv0032,36455,18092.1
rv0032,36515,5260.8
rv0032,36519,738.5
rv0032,36606,1221.3
rv0033,36677,5442.2
rv0033,36734,4336.1
