gene_id,position,insertions,essentiality
dnaA,72,11,unknown
dnaA,102,0,unknown
dnaA,188,0,unknown
dnaA,246,0,unknown
dnaA,333,0,unknown
dnaA,360,0,unknown
dnaA,426,0,unknown
dnaA,448,11,unknown
dnaA,471,0,unknown
dnaA,483,0,unknown
dnaA,494,0,unknown
dnaA,504,10.1,unknown
dnaA,514,0,unknown
dnaA,525,11,unknown
dnaA,534,0,unknown
dnaA,601,0,unknown
dnaA,653,1.3,unknown
dnaA,670,0,unknown
dnaA,706,0,unknown
dnaA,741,21.1,unknown
dnaA,784,0,unknown
dnaA,794,0,unknown
dnaA,843,0,unknown
dnaA,989,0,unknown
dnaA,1092,19.2,unknown
dnaA,1104,0,unknown
dnaA,1267,0,unknown
dnaA,1278,0,unknown
dnaA,1345,0,unknown
dnaA,1423,0,unknown
dnaA,1522,3058.4,unknown
NA,1552,291.2,unknown
NA,1635,18598.6,unknown
NA,1779,0,unknown
NA,1782,8.8,unknown
NA,1788,5.7,unknown
NA,1847,1202.3,unknown
NA,1858,2175.2,unknown
NA,1921,3812.8,unknown
NA,2001,184.5,unknown
NA,2012,61.7,unknown
dnaN,2063,0,unknown
dnaN,2104,0,unknown
dnaN,2141,0,unknown
dnaN,2232,10.1,unknown
dnaN,2290,0,unknown
dnaN,2315,0,unknown
dnaN,2318,0,unknown
dnaN,2333,0,unknown
dnaN,2344,0,unknown
dnaN,2363,0,unknown
dnaN,2387,0,unknown
dnaN,2404,0,unknown
dnaN,2427,0,unknown
dnaN,2479,0,unknown
dnaN,2507,0,unknown
dnaN,2537,0,unknown
dnaN,2591,0,unknown
dnaN,2648,0,unknown
dnaN,2738,0,unknown
dnaN,2774,0,unknown
dnaN,2845,0,unknown
dnaN,2920,0,unknown
dnaN,3027,0,unknown
dnaN,3056,0,unknown
dnaN,3066,11,unknown
dnaN,3070,11,unknown
dnaN,3119,0,unknown
dnaN,3131,0,unknown
dnaN,3145,0,unknown
dnaN,3222,0,unknown
dnaN,3228,0,unknown
NA,3277,61.300000000000004,unknown
recF,3283,3448.4,unknown
recF,3329,2547.2,unknown
recF,3372,13.1,unknown
recF,3379,0,unknown
recF,3384,0,unknown
recF,3396,288,unknown
recF,3412,0,unknown
recF,3425,9.1,unknown
recF,3441,0,unknown
recF,3467,91.3,unknown
recF,3471,229.2,unknown
recF,3513,181.9,unknown
recF,3591,1093.9,unknown
recF,3682,548.6,unknown
recF,3708,1602.2,unknown
recF,3728,133.5,unknown
recF,3739,1272,unknown
recF,3770,327.40000000000003,unknown
recF,3782,782.6,unknown
recF,3796,39.6,unknown
recF,3833,499.09999999999997,unknown
recF,3925,1200.5,unknown
recF,3960,328.6,unknown
recF,3967,2.9,unknown
recF,3986,1315.5,unknown
recF,4011,366.6,unknown
recF,4028,293.8,unknown
recF,4094,853.4,unknown
recF,4118,991.1,unknown
recF,4121,692.1,unknown
recF,4130,118.8,unknown
recF,4158,35.1,unknown
recF,4207,261.1,unknown
recF,4217,403.9,unknown
recF,4353,269.3,unknown
-,4664,0,unknown
-,4721,0,unknown
-,4789,0,unknown
-,4912,0,unknown
-,4961,423.79999999999995,unknown
-,4970,0,unknown
-,4989,2555.5,unknown
-,4995,5436,unknown
NA,5066,1526.9,unknown
NA,5120,2615.4,unknown
gyrB,5128,779,unknown
gyrB,5170,3101.5,unknown
gyrB,5230,0,unknown
gyrB,5273,0,unknown
gyrB,5287,0,unknown
gyrB,5336,0,unknown
gyrB,5364,0,unknown
gyrB,5420,0,unknown
gyrB,5439,0,unknown
gyrB,5517,0,unknown
gyrB,5547,0,unknown
gyrB,5579,0,unknown
gyrB,5586,0,unknown
gyrB,5623,0,unknown
gyrB,5631,0,unknown
gyrB,5669,0,unknown
gyrB,5687,0,unknown
gyrB,5792,0,unknown
gyrB,5977,0,unknown
gyrB,5996,0,unknown
gyrB,6055,0,unknown
gyrB,6128,0,unknown
gyrB,6230,0,unknown
gyrB,6249,0,unknown
gyrB,6286,0,unknown
gyrB,6403,0,unknown
gyrB,6490,0,unknown
gyrB,6502,0,unknown
gyrB,6526,0,unknown
gyrB,6605,0,unknown
gyrB,6612,0,unknown
